text,intent
selamat pagi,greeting
marhaba,greeting
zdravo,greeting
sawasdee,greeting
dumela,greeting
hallo,greeting
bonjourno,greeting
xin chào,greeting
sveiki,greeting
hej,greeting
tere,greeting
salve,greeting
grüß gott,greeting
sawatdi,greeting
bonan tagon,greeting
halo,greeting
merhabalar,greeting
sain baina uu,greeting
assalamu alaykum,greeting
mwaramutse,greeting
habari,greeting
mholo,greeting
kumusta,greeting
përshëndetje,greeting
barev,greeting
nín hǎo,greeting
ahoj,greeting
saluton,greeting
halo haow shoi,greeting
geia,greeting
salam,greeting
mingalarba,greeting
tungjatjeta,greeting
marhaban,greeting
bula,greeting
zdravstvuyte,greeting
sannu,greeting
moi,greeting
bom dia,greeting
goeie dag,greeting
günaydın,greeting
mbote,greeting
sanibonani,greeting
molo,greeting
dobar dan,greeting
gday,greeting
whats buzz,greeting
whats mood,greeting
whats pop,greeting
good afternoon,greeting
good even,greeting
salut,greeting
bonsoir,greeting
buenos días,greeting
buenas tardes,greeting
buenas noches,greeting
qué tal,greeting
buongiorno,greeting
buonasera,greeting
buona notte,greeting
namaskar,greeting
shubh prabhat,greeting
adaab,greeting
nǐ hǎo,greeting
zǎoshang hǎo,greeting
xiàwǔ hǎo,greeting
wǎnshàng hǎo,greeting
ohayō gozaimasu,greeting
konbanwa,greeting
annyeonghaseyo,greeting
joheun achimimnida,greeting
annyeonghi jumusyeosseoyo,greeting
annyeonghi gaseyo,greeting
vanakkam,greeting
subhodayam,greeting
subha sandhya,greeting
subha raatri,greeting
sat sri akal,greeting
shubh raatri,greeting
sabah alkhyr,greeting
masa alkhyr,greeting
ahlan,greeting
marhaban bik,greeting
boker tov,greeting
erev tov,greeting
laila tov,greeting
kod shalom,greeting
khush amadeed,greeting
subah bakhair,greeting
sham bakhair,greeting
shab bakhair,greeting
khuda hafiz,greeting
khuda negahdar,greeting
khuda hafez,greeting
mingalabar,greeting
dumelang,greeting
avuxeni,greeting
mo gole,greeting
thobela,greeting
moni,greeting
lumela,greeting
molweni,greeting
lefatše,greeting
lotša,greeting
aa lotse,greeting
ndewo,greeting
ndaa,greeting
good morrow,greeting
ahoy,greeting
welcome,greeting
tena koe,greeting
talofa,greeting
fakaalofa atu,greeting
ia orana,greeting
malo e lelei,greeting
halo olaketa,greeting
mo kiakaha,greeting
kiorana,greeting
hafadai,greeting
halo yuk,greeting
namaskaram,greeting
suprabhatham,greeting
sandhya,greeting
shubha raathri,greeting
pranamam,greeting
kaalaai vanakkam,greeting
maalai vanakkam,greeting
iniya iravu,greeting
shubhodayam,greeting
namaskāra,greeting
shubhodaya,greeting
shubha sandhya,greeting
shubha raatri,greeting
habbada shubhāṣayaḷu,greeting
good night,greeting
helo,greeting
suba udēṣanak,greeting
suba saha,greeting
suba rathriya,greeting
jaya hataara,greeting
suba rathriyaya,greeting
coucou,greeting
buenas,greeting
eccoci,greeting
guten tag,greeting
servus,greeting
ola,greeting
oi,greeting
zdorovo,greeting
ni hao,greeting
zaoshang hao,greeting
hai,greeting
ohayou,greeting
doumo,greeting
annyeong,greeting
yeoboseyo,greeting
hay,greeting
kya haal hai,greeting
mambo vipi,greeting
yia sa,greeting
herete,greeting
yia,greeting
goedemorgen,greeting
hoi,greeting
god morgon,greeting
tjena,greeting
god morgen,greeting
halloj,greeting
czesc,greeting
witaj,greeting
dzien dobry,greeting
selam,greeting
iyi gunler,greeting
iyi günler,greeting
ma hamatzav,greeting
suksan wan,greeting
nai,greeting
magandang umaga,greeting
apa khabar,greeting
apa kabar,greeting
hogy vagy,greeting
ce faci,greeting
dobre rano,greeting
ako sa ma,greeting
shubho sokal,greeting
kemon achho,greeting
nay shin zaw ya nga,greeting
nay shin zaw lar,greeting
good morning hope youre well today,greeting
hello id like inquire service,greeting
greeting could assist query,greeting
good day im look assistance,greeting
good afternoon may service,greeting
welcome im discus matter,greeting
hi could help request,greeting
hello im need support please,greeting
good morning hope youre great day,greeting
good day im reach help,greeting
hey hows go can help,greeting
hi mind assist quick question,greeting
hey need little help,greeting
hey whats can assist please,greeting
yo need assistance something,greeting
hiya get question dont mind,greeting
hey hope youre well can help,greeting
hello ive get query can assist,greeting
hey could help something real quick,greeting
hi can lend hand,greeting
whats good need help something,greeting
sup can assist quick question,greeting
howdy mind help real quick,greeting
yo need assistance,greeting
wassup get question can help,greeting
hows hangin need little favor,greeting
hey whats word can assist,greeting
yo whats good can help please,greeting
hey fam need quick hand,greeting
whats get question need help,greeting
good even hope im not disturb,greeting
hello could kindly provide assistance,greeting
greeting im seek help matter,greeting
good day im reach address issue,greeting
good afternoon may ask guidance,greeting
welcome im discus concern,greeting
hi could spare moment help,greeting
hello im hop can help,greeting
good day need assistance something,greeting
hey hope youre well can assist,greeting
hi could help please,greeting
hey need quick favor,greeting
hey whats can lend hand,greeting
yo get question can help,greeting
hiya mind help real quick,greeting
hey hope youre good can assist,greeting
hello need help something please,greeting
hey could spare minute assist,greeting
hi get question can help please,greeting
whats good need favor,greeting
sup can hook help,greeting
howdy get question can assist,greeting
yo need help something real quick,greeting
wassup can help real quick,greeting
hows hangin mind assist,greeting
hey whats word need help,greeting
yo whats good get question,greeting
whats can lend hand,greeting
good even hope youre well,greeting
hello could assist matter,greeting
greeting im look help today,greeting
good day may ask expertise,greeting
good afternoon could spare moment,greeting
welcome im seek guidance,greeting
hi could provide assistance,greeting
hello im reach support,greeting
good morning hope youre available help,greeting
good day require assistance please,greeting
hey hope good can help,greeting
hi mind give hand,greeting
hey need help something quick,greeting
yo need assistance real quick,greeting
hiya get question can help,greeting
hello need little help please,greeting
hi get question can lend hand,greeting
sup can assist real quick,greeting
howdy get question can help,greeting
yo need assistance something quick,greeting
wassup get question can assist,greeting
hows hangin mind give hand,greeting
hey whats word can help please,greeting
hey fam need help real quick,greeting
good even hope im not intrude,greeting
hello could kindly assist,greeting
greeting im need guidance,greeting
good day hope can help,greeting
good afternoon may trouble assistance,greeting
welcome im reach expertise,greeting
hi could spare moment assist,greeting
hi mind help real quick,greeting
good even hope youre well today,greeting
greeting im seek expertise matter,greeting
hi could give hand please,greeting
hows hangin,greeting
hya,greeting
hope well,greeting
hello hope well,greeting
mornin,greeting
afternoon,greeting
even,greeting
nice meet,greeting
pleased meet,greeting
nice see,greeting
nice see u,greeting
nice meet u,greeting
hey man,greeting
good see,greeting
sup,greeting
whazzup,greeting
gday mate,greeting
heyyy,greeting
hello stranger,greeting
goodmorrow,greeting
whats buttercup,greeting
wassup,greeting
wazzup,greeting
ohayo,greeting
